PING 8.8.8.8 (8.8.8.8) 56(84) bytes of data.
64 bytes from 8.8.8.8: icmp_seq=169 ttl=115 time=17.2 ms
64 bytes from 8.8.8.8: icmp_seq=170 ttl=115 time=47.4 ms
64 bytes from 8.8.8.8: icmp_seq=171 ttl=115 time=39.0 ms
64 bytes from 8.8.8.8: icmp_seq=172 ttl=115 time=12.7 ms
64 bytes from 8.8.8.8: icmp_seq=173 ttl=115 time=15.6 ms
64 bytes from 8.8.8.8: icmp_seq=174 ttl=115 time=73.8 ms
64 bytes from 8.8.8.8: icmp_seq=175 ttl=115 time=22.2 ms
64 bytes from 8.8.8.8: icmp_seq=176 ttl=115 time=21.6 ms
64 bytes from 8.8.8.8: icmp_seq=177 ttl=115 time=19.7 ms
64 bytes from 8.8.8.8: icmp_seq=178 ttl=115 time=37.1 ms
64 bytes from 8.8.8.8: icmp_seq=179 ttl=115 time=16.9 ms
64 bytes from 8.8.8.8: icmp_seq=180 ttl=115 time=20.6 ms
64 bytes from 8.8.8.8: icmp_seq=181 ttl=115 time=13.7 ms
64 bytes from 8.8.8.8: icmp_seq=182 ttl=115 time=17.2 ms
64 bytes from 8.8.8.8: icmp_seq=183 ttl=115 time=20.7 ms
64 bytes from 8.8.8.8: icmp_seq=184 ttl=115 time=38.6 ms
64 bytes from 8.8.8.8: icmp_seq=185 ttl=115 time=11.6 ms
64 bytes from 8.8.8.8: icmp_seq=186 ttl=115 time=14.8 ms
64 bytes from 8.8.8.8: icmp_seq=187 ttl=115 time=17.6 ms
64 bytes from 8.8.8.8: icmp_seq=188 ttl=115 time=26.3 ms
64 bytes from 8.8.8.8: icmp_seq=189 ttl=115 time=19.6 ms
64 bytes from 8.8.8.8: icmp_seq=190 ttl=115 time=22.7 ms
64 bytes from 8.8.8.8: icmp_seq=191 ttl=115 time=135 ms
64 bytes from 8.8.8.8: icmp_seq=192 ttl=115 time=24.4 ms
64 bytes from 8.8.8.8: icmp_seq=193 ttl=115 time=12.2 ms
64 bytes from 8.8.8.8: icmp_seq=194 ttl=115 time=20.7 ms
64 bytes from 8.8.8.8: icmp_seq=195 ttl=115 time=14.2 ms
64 bytes from 8.8.8.8: icmp_seq=196 ttl=115 time=17.6 ms
64 bytes from 8.8.8.8: icmp_seq=197 ttl=115 time=15.7 ms
64 bytes from 8.8.8.8: icmp_seq=198 ttl=115 time=33.8 ms
64 bytes from 8.8.8.8: icmp_seq=199 ttl=115 time=12.1 ms
64 bytes from 8.8.8.8: icmp_seq=200 ttl=115 time=20.2 ms
64 bytes from 8.8.8.8: icmp_seq=201 ttl=115 time=37.8 ms
64 bytes from 8.8.8.8: icmp_seq=202 ttl=115 time=23.2 ms
64 bytes from 8.8.8.8: icmp_seq=203 ttl=115 time=16.5 ms
64 bytes from 8.8.8.8: icmp_seq=204 ttl=115 time=25.2 ms
64 bytes from 8.8.8.8: icmp_seq=205 ttl=115 time=23.2 ms
64 bytes from 8.8.8.8: icmp_seq=206 ttl=115 time=16.6 ms
64 bytes from 8.8.8.8: icmp_seq=207 ttl=115 time=20.2 ms
64 bytes from 8.8.8.8: icmp_seq=208 ttl=115 time=43.1 ms
64 bytes from 8.8.8.8: icmp_seq=209 ttl=115 time=12.7 ms
64 bytes from 8.8.8.8: icmp_seq=210 ttl=115 time=35.3 ms
64 bytes from 8.8.8.8: icmp_seq=211 ttl=115 time=33.6 ms
64 bytes from 8.8.8.8: icmp_seq=212 ttl=115 time=31.6 ms
64 bytes from 8.8.8.8: icmp_seq=213 ttl=115 time=25.0 ms
64 bytes from 8.8.8.8: icmp_seq=214 ttl=115 time=14.1 ms
64 bytes from 8.8.8.8: icmp_seq=215 ttl=115 time=87.8 ms
64 bytes from 8.8.8.8: icmp_seq=216 ttl=115 time=17.1 ms
64 bytes from 8.8.8.8: icmp_seq=217 ttl=115 time=20.2 ms
64 bytes from 8.8.8.8: icmp_seq=218 ttl=115 time=23.6 ms
64 bytes from 8.8.8.8: icmp_seq=219 ttl=115 time=16.7 ms
64 bytes from 8.8.8.8: icmp_seq=220 ttl=115 time=20.5 ms
64 bytes from 8.8.8.8: icmp_seq=221 ttl=115 time=38.8 ms
64 bytes from 8.8.8.8: icmp_seq=222 ttl=115 time=11.9 ms
64 bytes from 8.8.8.8: icmp_seq=223 ttl=115 time=35.6 ms
64 bytes from 8.8.8.8: icmp_seq=224 ttl=115 time=33.6 ms
64 bytes from 8.8.8.8: icmp_seq=225 ttl=115 time=11.1 ms
64 bytes from 8.8.8.8: icmp_seq=226 ttl=115 time=25.3 ms
64 bytes from 8.8.8.8: icmp_seq=227 ttl=115 time=14.1 ms
64 bytes from 8.8.8.8: icmp_seq=228 ttl=115 time=22.9 ms
64 bytes from 8.8.8.8: icmp_seq=229 ttl=115 time=26.3 ms
64 bytes from 8.8.8.8: icmp_seq=230 ttl=115 time=24.6 ms
64 bytes from 8.8.8.8: icmp_seq=231 ttl=115 time=12.7 ms
64 bytes from 8.8.8.8: icmp_seq=232 ttl=115 time=15.6 ms
